Comment,Designator,Footprint,LCSC
R,R2,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
Conn_01x01_Pin,J9,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01_Pin,J6,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01_Pin,J2,PinHeader_1x01_P2.54mm_Vertical,
R,R1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
R,R3,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
Conn_01x01_Pin,J8,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01_Pin,J12,PinHeader_1x01_P2.54mm_Vertical,
10u,C3,C_0603_1608Metric,
Conn_01x01_Pin,J3,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01_Pin,J5,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01_Pin,J1,PinHeader_1x01_P2.54mm_Vertical,
SK6812MINI-E,D1,SK6812MINI_E,
SLSS49E,U1,SOT-23-3,
Conn_01x01_Pin,J10,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01_Pin,J7,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01_Pin,J14,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01_Pin,J11,PinHeader_1x01_P1.27mm_Vertical,
10u,C2,C_0603_1608Metric,
100n,C4,C_0603_1608Metric,
100n,C1,C_0603_1608Metric,
Conn_01x01_Pin,J13,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J4,PinHeader_1x01_P2.54mm_Vertical,
